Romence Kelime,Kelime Türü,İngilizce Anlamı,Türkçe Anlamı,Örnek Cümle
gata,sıfat,ready,tamam,Nu suntem gata pentru plecare.
gazdă,isim,host,ev sahibi,Ei au fost gazde bune pentru musafiri.
găină,isim,hen,tavuk,În curte sunt 5 găini și un cocoș.
gălăgie,isim,noise,gürültü,În pauză este gălăgie.
"gălăgios, gălăgioasă",sıfat,noisy,gürültülü,Copiii sunt gălăgioși când se joacă.
găleată,isim,bucket,cova,Aduce apă în găleată.
găsi,fiil,find,bulmak,Nu găsesc cheia.
găti,fiil,cook,pişirmek,Astăzi gătesc o supă de pui.
gând,isim,"thought, intent",düşünce,Ești mereu în gândul meu.
gândi (se),fiil,think,düşünmek,Mihai gândește repede.
gâscă,isim,goose,kaz,Nu mănâncă ficat de gâscă.
gât,isim,"neck, throat",boyun,Nu mă doare gâtul acum.
geacă,isim,parka,ceket,Poartă o geacă verde.
geam,isim,window,cam,Băiatul a spart geamul cu mingea de fotbal.
geamantan,isim,suitcase,"bavul, valiz",A urcat într-un taxi cu două geamantane mari.
geană,isim,eyelash,kirpik,Nu poartă gene false.
geantă,isim,bag,çanta,Are multe genți în dulap.
gem,isim,jam,reçel,"La micul dejun, mănâncă gem de portocale."
genunchi,isim,knee,diz,Mă doare genunchiul.
ger,isim,frost,don,În ianuarie este ger.
gheată,isim,boot,bot,Mă încalț cu ghetele când urc pe munte.
gheață,isim,ice,buz,Beau un ceai cu gheață.
ghid,isim,"guidebook, phrasebook",kılavuz,Am cumpărat un ghid de conversație.
ghid,isim,"guidebook, phrasebook",kılavuz,Ghidul ne-a dat explicații foarte interesante.
ghiozdan,isim,schoolbag,okul çantası,Copilul are un ghiozdan nou.
gimnastică,isim,gymnastics,jimnastik,Maria face gimnastică în fiecare dimineață.
girafă,isim,giraffe,zürafa,La grădina zoologică am văzut o girafă.
ginere,isim,son-in-law,damat,Ginerele ei este stomatolog.
glas,isim,joke,ses,În parc se aud glasuri de copii.
gleznă,isim,ankle,ayak bileği,M-am lovit la gleznă.
glumi,fiil,joke,şaka yapmak,Tata glumește mereu.
gogoașă,isim,doughnut,"lokma, çörek",Am mâncat multe gogoși cu ciocolată.
"gol, goală",sıfat,"empty, bare, naked","boş, çıplak",Frigiderul este gol.
grad,isim,degree,derece,Afară sunt 30 de grade Celsius.
gram,isim,gram,gram,Brățara mea are 2 grame.
gras(ă),sıfat,fat,şişman,Băiatul ei este gras.
gratis,zarf,free of charge,bedava,"La două produse cumpărate, am primit unul gratis."
gratuit(ă),sıfat,free,bedava/ücretsiz,Cursurile acestea sunt gratuite.
grav(ă),sıfat/zarf,serious,"ciddi/vahim, ağır",Aceasta este o problemă gravă.
grăbi (se),fiil,hurry,acele etmek,Tata grăbește pasul.
grăbit(ă),sıfat,in a hurry,aceleci,"Nu pot sta de vorbă, sunt foarte grăbit."
grădină,isim,garden,bahçe,Am multe flori în grădină.
grădiniță,isim,kindergarten,anaokulu,Copiii mici merg la grădiniță.
grătar,isim,grill,mangal,Fac o friptură la grătar.
greșeală,isim,mistake,hata,Străinii fac multe greșeli de limbă.
greși,fiil,err,"hata etmek, yanlış yapmak",Am greșit un subiect la test.
greșit(ă),zarf/sıfat,wrong(ly),yanlış,Ahmed folosește greșit acest cuvânt.
"greu, grea",sıfat/zarf,"heavy, hard, difficult","ağır, zor",Am o geantă grea.
greutate,isim,"weight, difficulty","ağırlık, zorluk","La sala de sport, băieții ridică greutăți."
gri,sıfat,grey,gri,Am o canapea gri.
grijă,isim,"care, worry","bakma, dikkatle",Mama are grijă de copii.
gripă,isim,flu,grip,Am făcut gripă.
"gros, groasă",sıfat,thick,kalın,Jacheta este groasă.
grupă,isim,group,grup,Maria este în grupa aceasta.
gumă,isim,"eraser, gum","silgi, sakız, ciklet",Nu am gumă de șters.
gunoi,isim,rubbish,çöp,Am aruncat gunoiul.
gură,isim,mouth,ağız,Dentistul i-a spus să deschidă gura.
gust,isim,taste,"lezet,tad, zevk",Sosul de ardei are gust bun.
gusta,fiil,taste,tatmak,Bucătarul gustă supa.
gustare,isim,snack,atıştırmalık,Între mese luăm o gustare.
"gustos, gustoasă",sıfat,tasty,lezzetli,Mâncarea este gustoasă.
gutuie,isim,quince,ayva,Gutuia este galbenă.
hai,ünlem,come on,haydi,"Hai, să mergem la plimbare!"
haină,isim,"coat, clothes",ceket,Am o haină de blană.
halat,isim,"robe, dressing gown, lab coat",bornoz,Halatul de baie este nou.
harnic(ă),sıfat,hard-working,çalışkan,Fiica mea este harnică.
hartă,isim,map,harita,În clasă este o hartă pe perete.
hârtie,isim,paper,kağıt,Pe birou sunt multe hârtii.
hol,isim,"hall, corridor","hol, koridor",Holul este lung.
hotărî (se),fiil,decide,karar vermek,Am hotărât să mergem la Viena.
hotărâre,isim,decision,karar,Pentru hotărârile importante mă consult cu mama.
hotel,isim,hotel,otel,Stăm la un hotel de cinci stele.
hoț,isim,"thief, pickpocket",hırsız,Hoții i-au furat portofelul.
ianuarie,isim,January,ocak,În ianuarie ninge.
iar (iarăși),zarf/bağlaç,"and, again",tekrar,Iarăși a venit la mine.
iarbă,isim,grass,ot,A crescut iarba în curte.
iarnă,isim,winter,kış,Iernile sunt geroase.
iată,ünlem,"here, look",işte,Iată ce mi-am cumpărat.
iaurt,isim,yoghurt,yoğurt,Dimineața mănâncă iaurt cu cereale.
ibric,isim,coffee pot,ibrik,Face cafeaua în ibric.
idee,isim,idea,fikir,A avut o idee bună cu plecarea în vacanță.
identic(ă),sıfat,identical,"aynı, tıpatıp",Au avut lucrări identice.
ie,isim,Romanian blouse,"el sanatı blüz, gömlek",Dansatorii poartă ii românești.
ieftin(ă),sıfat,cheap,ucuz,Mâncarea este ieftină în acest restaurant.
iepure,isim,"rabbit, hare",tavşan,În această regiune trăiesc mulți iepuri de câmp.
ieri,zarf,yesterday,dün,Ieri nu am lucrat.
ierta,fiil,forgive,affetmek,Te rog să mă ierți dacă am greșit.
ieși,fiil,"go/get out, leave",çıkmak,A ieșit din cameră.
ieșire,isim,exit,çıkış,La ieșirea din mall este o terasă.
imagina (-și),fiil,"imagine, reckon","hayal etmek, sanmak",Îmi imaginez că te-ai descurcat la examen.
imagine,isim,image,resim,Imaginile din carte sunt colorate.
imediat,zarf,immediately,hemen,Vin imediat.
important(ă),sıfat,important,önemli,Cartea aceasta este importantă pentru examen.
imposibil,zarf,impossible,imkansız,Este imposibil să termini cartea în două zile.
imprimantă,isim,printer,yazıcı,În birou este o imprimantă nouă.
incomod(ă),sıfat/zarf,uncomfortable,rahatsız,Stau pe un scaun incomod.
inel,isim,ring,yüzük,Am primit un inel de aur.
informa (se),fiil,inform,"bilgilendirmek, bilgi almak",L-am informat că nu a luat exemenul.
informație,isim,information,bilgi,Secretara oferă informații studenților.
inimă,isim,heart,kalp,Pacientul acesta are probleme cu inima.
injecție,isim,"injection, shot",şırınga,Asistenta îi face injecție în fiecare dimineață.
insulă,isim,island,ada,Grecia are multe insule.
interesa (se),fiil,"care about, enquire","ilgilendirmek, ilgilenmek",Pe George nu-l interesează fotbalul.
interesant(ă),sıfat/zarf,interesting,ilginç,Am o auzit o poveste interesantă.
interior,zarf,"interior, inside","iç, içeri",Spăl mașina în interior.
intern(ă),sıfat,internal,"iç, dahili",Studenții învață despre organele interne.
internațional(ă),sıfat,international,uluslararası,Studenții internaționali sunt așteptați aici.
interzis(ă),sıfat/zarf,"prohibited, forbidden",yasak,"Aici, parcarea este interzisă."
intra,fiil,enter,girmek,Intru în clasă la timp.
intrare,isim,entrance,giriş,La intrarea în casă ne descălțăm.
invita,fiil,"invite, ask over",davet etmek,Îi invit pe prietenii mei la un suc.
invitație,isim,invitation,"davet, davetiye",Am primit o invitație la nuntă.
iubi,fiil,love,sevmek,O iubesc pe sora mea.
iubire,isim,love,"aşk, sevda",Povestea de iubire dintre ei s-a terminat.
iubit(ă),sıfat,"(be)loved, boy/girlfriend","sevilmek, erkek / kız arkadaş",Fetița este iubită de toată familia.
iunie,isim,June,haziran,În iunie luăm vacanță.
iute,sıfat/zarf,"hot, spicy, quickly","acı, çabuk,hızlı",Vreau un sos iute.
îmbătrâni,fiil,"age, grow old",yaşlanmak,Profesoara a îmbătrânit.
îmbolnăvi,fiil,get ill / sick,hastalanmak,Ne-am îmbolnăvit după ce am mâncat acolo.
îmbrăca (se),fiil,dress (up),"giydirmek, giymek, giyinmek",O îmbrac pe sora mea.
îmbrăcăminte,isim,clothing,giysi,Șifonierul este plin de îmbrăcăminte.
îmbrățișa (se),fiil,"hug, embrace","sarımak, sarılmak",O îmbrățișez pe Maria când o întâlnesc.
împacheta,fiil,wrap,paketlemek,Împachetez cadoul pentru mama.
împinge,fiil,push,itmek,"La intrare, împingem ușa cu putere."
împlini,fiil,turn,"doldurmak, ..yaşına girmek/gelmek",Valentina împlinește azi 20 de ani.
împotriva,edat,against,karşı,Ești mereu împotriva mea.
împreună,zarf,together,"beraber, birlikte",Ei merg la cursuri împreună.
împrumuta,fiil,"lend, borrow","borç vermek, borç almak",Îl împrumut pe George cu bani mereu.
în,edat,in,-da/-de/-ta/-te,În sala de curs este liniște.
înainte,zarf,"before, ahead","eskiden, ileri",Înainte era mai bine.
înaintea,edat,"in front, ahead of",ön,El merge înaintea mea.
înalt(ă),sıfat,tall,uzun boylu,Fratele meu este înalt.
înapoi,zarf,back(wards),geri,Pentru teatru mergeți înapoi.
înapoiere,fiil,#N/A,#N/A,Ieri am înapoiat cărțile la bibliotecă.
înăuntru,zarf,inside,"içeride, içeri, içeriye",Înăuntru este foarte cald.
încă,zarf,"still, yet","hala, henüz",Nu a sosit încă.
încălța (se),fiil,put on (shoes),ayakkabı giymek,Îl încalț pe fratele meu.
încălțăminte,isim,footwear,ayakkabı,Acolo este un magazin de încălțăminte.
încălzi (se),fiil,"heat, warm up, get warmer","ısıtmak, ısınmak",Încălzesc ciorba pentru prânz.
încărca,fiil,load,doldurmak,A încărcat mașina cu bagaje.
încânta,fiil,"charm, delight",mutlu etmek,Mă încântă peisajele montane.
încântat(ă),sıfat,delighted,memnun olmak,Suntem încântați de cunoștință.
începe,fiil,"start, begin",başlamak,Filmul începe la ora 20:00.
început,isim,beginning,başlangıç,Începutul este greu mereu.
încerca,fiil,try,denemek,Ei încearcă să învețe mai bine.
încet,zarf,"quietly, slowly",yavaş,Profesorul vorbește încet.
închide,fiil,close,kapamak,Închid fereastra că e frig.
închiria,fiil,"rent, hire",kiralamak,Studenții au închiriat un apartament.
închis(ă),sıfat,"dark, closed, shut",kapalı,Vremea este închisă.
încuia,fiil,lock,kilitlemek,Încuiem ușa cu cheia.
încuiat(ă),sıfat,locked,kilitli,Am găsit ușa încuiată.
îndată,zarf,"at once, immediately","hemen, derhal","Nu mai striga, vin îndată."
îndrăgosti (se),fiil,fall in love,aşık olmak,Luca s-a îndrăgostit de România.
îndrăgostit,isim,lover,aşık,Pe bancă stau doi îndrăgostiți.
îngheța,fiil,freeze,donmak,Am înghețat de frig.
înghețată,isim,ice-cream,dondurma,Am mâncat două înghețate azi.
îngriji,fiil,"look after, take care of",bakmak,O îngrijesc pe bunica.
îngust(ă),sıfat,narrow,dar,Strada este îngustă.
înnorat(ă),sıfat,cloudy,bulutlu,Cerul este înnorat.
înot,isim,swimming,yüzme,Face înot de 10 ani.
înota,fiil,swim,yüzmek,Mihai înoată bine.
înotător,isim,swimmer,yüzücü,El este un înotător foarte bun.
însă,bağlaç,but,ancak,"Am plecat devreme de acasă, însă nu am ajuns la timp."
înscrie (se),fiil,"sign up for, register, score","yazdırmak, gol atmak, kaydolmak",O înscriu pe fiica mea la balet.
însorit(ă),sıfat,sunny,güneşli,Astăzi este o zi însorită.
însoți,fiil,accompany,eşlik etmek,O însoțesc pe mătușa mea la doctor.
însura (se),fiil,get married,evlenmek,Băiatul se însoară duminică.
întâi,sayı/zarf,first,"birinci, önce, ilk",Fiul meu este în clasa întâi.
întâlni (se),fiil,meet,"karşılaşmak, buluşmak",L-am întâlnit pe Mircea la restaurant.
întâlnire,isim,"meeting, date",görüşme,Am o întâlnire de afaceri.
întâmpla (se),fiil,happen,(bir şey) olmak,Nu știu ce s-a întâmplat.
întâmplare,isim,incident,"olay, hadise",Mi-a povestit o întâmplare amuzantă.
întâmplător,zarf,accidental,"tesadüf, rastgele",Nimic nu este întâmplător în viață.
întârzia,fiil,"be late, delay",geç kalmak,Eu nu întârzii niciodată la cursuri.
întineri,fiil,get younger,gençleşmek,"După tratamentul cosmetic, pare că a întinerit."
întoarce (se),fiil,"turn, return","çevirmek, dönmek",Elevul întoarce pagina cărții.
întotdeauna,zarf,always,"her zaman, daima",La Paris mergem întotdeauna cu avionul.
între,edat,between,arasında,Locuiește între spital și facultate.
întreba,fiil,ask a question,sormak,Studentul întreabă mereu când nu știe.
întrebare,isim,question,soru,Am multe întrebări pentru tine.
întrece (se),fiil,"surpass, outrun, race",geçmek,Trenul a întrecut mașina.
"întreg, întreagă",sıfat,"whole, entire","bütün, tam",Am mâncat un pepene întreg.
întuneca (se),fiil,get dark,kararmak,Iarna se întunecă devreme.
întuneric,isim,darkness,karanlık,Mi-e frică de întuneric.
înțelege,fiil,understand,anlamak,Nu înțeleg ce spui.
învăța,fiil,"learn, teach",öğrenmek,Am învățat repede limba română.
jachetă,isim,jacket,mont,Poartă o jachetă bleumarin.
joc,isim,game,oyun,A descărcat multe jocuri pe calculator.
joi,isim,Thursday,perşembe,Ne vedem joi.
jos,zarf,"down(stairs), on foot","aşağı, yürüyerek",Stai jos pe scaun!
juca (se),fiil,play,oynamak,Jucăm baschet în curtea școlii.
jucărie,isim,toy,oyuncak,Copilul are multe jucării.
jumătate,isim,half,yarım,Te aștept de o jumătate de oră.
jurnal,isim,"diary, journal",günlük,Scriu în jurnal în fiecare zi.
kaki,sıfat,khaki,haki,Uniforma soldatului este kaki.
ketchup,isim,ketchup,ketçap,Vreau un ketchup dulce.
kilogram,isim,kilogram,kilo,Am cumpărat 1 kg de piersici.
kilometru,isim,kilometre,kilometre,Am alergat 2 km.
kiwi,isim,kiwi,kivi,Am făcut un suc de kiwi cu măr.
la,edat,"to, at",-a/-e doğru,Mergem la Craiova.
laborator,isim,lab(oratory),laboratuvar,Laboratorul de chimie este la primul etaj.
lac,isim,lake,göl,Mergem cu barca pe lac.
lacrimă,isim,tear,göz yaşı,Pe obraji are câteva lacrimi.
lamă,isim,(razor)blade,jilet,Am cumpărat un pachet de lame pentru aparatul de ras.
lapte,isim,milk,süt,Beau un pahar cu lapte.
larg(ă),sıfat,"ample, loose",geniş,Îmi plac fustele largi.
lat(ă),sıfat,wide,geniş,În camera de hotel este un pat lat.
lămâie,isim,lemon,limon,Beau un suc de lămâie.
lăsa (se),fiil,"leave, quit",bırakmak,Am lăsat banii pe masă.
lăuda (se),fiil,"praise, boast, brag","övmek, övünmek",Profesorul îi laudă pe studenți.
lână,isim,wool,yün,Iarna port pulover de lână.
lângă,edat,next to,"yan, yanında",Lângă masă este un scaun.
lectură,isim,reading,okuma,Studenții învață în sala de lectură.
lecție,isim,lesson,ders,Lecția de azi a fost interesantă.
lega,fiil,tie,bağlamak,Leg florile cu o panglică.
legătură,isim,"bunch, connection",bağ,Am cumpărat o legătură de verdeață.
legitimație,isim,work / student ID,kimlik,Am primit legitimația de student.
legumă,isim,vegetable,sebze,Mănâncă o supă de legume.
lene,isim,laziness,tembellik,Mi-e lene să fac curat.
leneș(ă),sıfat,lazy,tembel,"El este leneș, nu face nimic toată ziua."
leu,isim,"lion, RON (Romanian currency)",aslan,Leul este regele animalelor.
liber(ă),sıfat,"free, empty","boş, serbest",Lângă mine este un loc liber.
libertate,isim,freedom,özgürlük,Luptăm mereu pentru libertate.
librărie,isim,bookshop,kırtasiye,Cumpărăm cărți de la librărie.
liceu,isim,high school,lise,La anul o să termin liceul.
lift,isim,elevator,asansör,Am urcat cu liftul.
limbă,isim,"language, tongue",dil,Limba română este dificilă.
limonadă,isim,lemonade,limonata,Vreau o limonadă cu mentă.
limpede,sıfat/zarf,clear(ly),"berrak, açık","La munte, apele sunt limpezi și reci."
lingură,isim,spoon,kaşık,Mâncăm ciorba cu lingura.
linguriță,isim,teaspoon,kahve kaşığı/çay kaşığı,În cafea pun o linguriță de zahăr.
linie,isim,"ruler, line","cetvel, çizgi",Am pus linia în penar.
liniște,isim,silence,sessizlik,Vă rog să faceți liniște!
liniștit(ă),sıfat,"quiet, silent",sakin,Ea este o fată liniștită.
lipsi,fiil,"miss, skip",olmamak,Ei lipsesc adesea de la școală.
listă,isim,list,liste,Fac o listă de cumpărături.
literă,isim,We write in capital letters,harf,Scriem cu litere mari.
litoral,isim,seaside,sahil,"Vara, pe litoral este multă lume."
livadă,isim,orchard,meyve bahçesi,Unchiul meu are o livadă de meri.
loc,isim,"space, place, seat",yer,Nu am loc să parchez mașina.
locui,fiil,live,oturmak,Locuiesc într-un oraș mare.
locuință,isim,residence,"ev, konut",Locuința mea de vară e la mare.
locuitor,isim,inhabitant,sakin,Constanța are mulți locuitori.
logodnic,isim,fiancé(e),nişanlı,Logodnicul meu este tânăr și frumos.
lovi (se),fiil,"hit, strike, crash, bump",vurmak,Ieri am lovit mașina.
lua,fiil,"take, remove, get",almak,Eu iau cărțile de pe masă.
lucra,fiil,work,çalışmak,Lucrez opt ore zilnic.
lucru,isim,"thing, item, work","şey, eşya",Am multe lucruri pe masă.
lume,isim,"world, people","dünya, insan",În lume sunt multe dezastre.
lumină,isim,light,ışık,Am aprins lumina în cameră.
lună,isim,"month, moon",ay,În fiecare lună plătesc taxe.
lung(ă),sıfat,long,uzun,Port o rochie lungă.
luni,isim,Monday,pazartesi,În zilele de luni mergem la bazinul de înot.
lup,isim,wolf,kurt,În pădure sunt mulți lupi.
lux,isim,luxury,lüks,A trăit în lux toată viața.
magazin,isim,shop,"mağaza, dükkan",Găsești la magazin orice.
mai,isim/zarf,May,"mayıs, daha",În luna mai totul este înflorit.
maimuță,isim,monkey,maymun,În Gibraltar am văzut multe maimuțe.
maio,isim,#N/A,#N/A,Handbalistul are un maiou negru.
major(ă),sıfat,of age,reşit,"La 18 ani, tinerii devin majori."
mamă,isim,mother,"anne, ana",Mama mea este profesoară.
mandarină,isim,mandarin,mandarina,Am cumpărat 1 kg de mandarine.
manual,isim,textbook,ders kitabı,Pe fiecare masă este un manual de limba română.
mare,sıfat,"big, large",büyük,Constanța este un oraș mare.
mare,isim,"big, large",büyük,Vara mergem la mare.
margine,isim,edge,kenar,Locuiesc la marginea orașului.
marinar,isim,sailor,denizci,În port sunt acum câțiva marinari.
maro,sıfat,brown,kahverengi,Pantofii ei sunt maro.
martie,isim,March,mart,În martie începe primăvara.
marți,isim,Tuesday,salı,În zile de marți avem programare la coafor.
masă,isim,"table, meal","masa, yemek",Am o masă mare în living.
mașină,isim,"car, machine","araba, makine",Mașina mea este roșie.
mazăre,isim,peas,bezelye,Am gătit mazăre pentru cină.
mălai,isim,cornmeal,misir unu,În dulap am o pungă cu mălai.
mămăligă,isim,polenta,mamaliga/mısır lapası,Pentru mămăligă am folosit mălai.
mănușă,isim,glove,eldiven,Doctorul poartă mănuși în sala de operație.
măr,isim,apple,elma,Am comandat un suc de mere.
mărar,isim,dill,dereotu,Punem mărar în salata de castraveți.
măsea,isim,(back) tooth,diş,Mă doare măseaua de minte.
măslină,isim,olive,zeytin,Măslinele acestea sunt sărate.
măsura,fiil,measure,ölçmek,Măsor fereastra pentru a cumpăra draperii.
mătase,isim,silk,ipek,Rochia de mătase este scumpă.
mătușă,isim,aunt,"teyze, hala",Mătușa Maria locuiește în Spania.
mâine,zarf,tomorrow,yarın,Mâine plecăm de acasă.
mână,isim,hand,el,A cumpărat o cremă bună pentru mâini.
mânca,fiil,eat,yimek,Copiii mănâncă înghețată.
mâncare,isim,"food, dish",yemek,Acest restaurant are mâncare delicioasă.
meci,isim,"match, game",maç,Cumpărăm bilete pentru meciul de tenis.
medic,isim,doctor,doktor,Am programare la medicul dermatolog.
medicament,isim,medicine,ilaç,Unele medicamente nu se vând fără rețetă.
mediu,isim,environment,çevre,Trebuie să protejăm mediul înconjurător.
melodie,isim,"tune, melody","melodi, şarkı",La radio se aude o melodie veche.
meniu,isim,menu,menü,Chelnerul aduce meniul.
mentă,isim,mint,nane,Azi beau un ceai de mentă.
mereu,zarf,always,"sık, sürekli",Primăvara plouă mereu.
merge,fiil,"go, get, work",gitmek,Până acolo mergeți două stații cu metroul.
mesaj,isim,message,mesaj,În fiecare dimineață citesc toate mesajele primite.
mesteca,fiil,chew,çiğnemek,Nu mestecați gumă la curs!
metru,isim,metre,metre,Până la farmacie sunt aproximativ 100 de metri.
"meu / mea (al, a)",zamir,"my, mine",benim,Fratele meu este un băiat simpatic.
mezeluri,isim,cured / deli meats,sosis,Mezelurile au întotdeauna multă sare.
mic(ă),sıfat,"small, little","küçük, ufak",Locuiesc într-un apartament mic.
mie,isim,thousand,bin,Excursia costă 2000 de euro.
miel,isim,lamb,kuzu,Friptura de miel a fost gustoasă.
miercuri,isim,Wednesday,çarşamba,În fiecare miercuri mergem la piață.
miere,isim,honey,bal,Beau limonada cu miere.
migdală,isim,almond,badem,Punem migdale în prăjituri.
mijloc,isim/zarf,"waist, middle, centre","bel, orta","La dans, partenerii se țin de mijloc."
mijloc,isim,"waist, middle, centre","bel, orta",Mijloacele de transport sunt aglomerate.
milion,isim,million,milyon,A câștigat un milion de euro la loterie.
mincinos,isim,liar,yalancı,Nu-mi plac mincinoșii.
"mincinos, mincinoasă",sıfat,lying,yalancı,Copiii mincinoși sunt certați de părinți.
minge,isim,ball,top,Nu avem minge de baschet.
minor(ă),sıfat,"underage, minor","küçük, ufak",Aceasta este o problemă minoră.
minte,isim,mind,akıl,Mințile mari gândesc la fel.
minți,fiil,"lie, tell lies",yalan söylemek,Noi nu mințim niciodată.
minunat(ă),sıfat,wonderful,"şahane, harika",Petrecerea a fost minunată.
minune,isim,"miracle, wonder",harika,Nu cunosc toate minunile lumii.
minut,isim,minute,dakika,Filmul durează 90 de minute.
mira (se),fiil,"wonder, be surprised","şaşırmak, şaşmak, hayret etmek",Anca se miră de rezultatele examenului.
mire,isim,groom,damat,Mirele a purtat un costum gri.
mireasă,isim,bride,gelin,Mireasa poartă rochie albă.
miros,isim,smell,koku,Pisica are mirosul fin.
mirosi,fiil,smell,koklamak,Parfumul acesta nu miroase bine.
mișca (se),fiil,move,hareket etmek,Bolnavul nu poate mișca mâna.
mișcare,isim,"movement, exercise",hareket,Marian nu face deloc mișcare.
moale,sıfat,soft,yumuşak,Această saltea este foarte moale.
moarte,isim,death,ölüm,A avut o moarte ușoară.
mobilă,isim,furniture,mobilya,Are casa plină de mobilă.
modă,isim,fashion,moda,Maria se îmbracă la modă.
modern(ă),sıfat,modern,modern,Are un apartament modern.
morcov,isim,carrot,havuç,La ciorbă a pus doi morcovi.
motiv,isim,reason,sebep,Nu are motive de supărare.
motocicletă,isim,motorcycle,"motor, motosiklet",A plecat la mare cu motocicleta.
mov,sıfat,purple,mor,Fusta mov este scurtă.
mult(ă),sıfat/zarf,"much, many",çok,Beau multă cafea.
mulțumi,fiil,"thank, please",teşekkür etmek,Îi mulțumesc mamei pentru ajutor.
muncă,isim,work,iş,Plec la muncă devreme.
munci,fiil,work,çalışmak,El muncește 8 ore pe zi.
muncitor,isim,"worker, workman",işçi,Muncitorii au terminat construcția.
munte,isim,mountain,dağ,Munții României sunt înalți.
murdar(ă),sıfat,dirty,kirli,Fața de masă este murdară.
muri,fiil,die,ölmek,Bunicul lui a murit anul trecut.
musafir,isim,guest,misafir,Musafirii au plecat devreme.
muscă,isim,fly,sinek,Am cumpărat un spray de muște.
mustață,isim,"moustache, whiskers",bıyık,Pisica noastră are mustăți lungi.
mușca,fiil,bite,ısırmak,Câinele mușcă rău.
mușchi,isim,"muscle, moss","kas, yosun",Mușchii abdominali trebuie lucrați.
muștar,isim,mustard,hardal,Mănânc cârnații cu muștar.
mut(ă),sıfat,"mute, silent","sessiz, dilsiz",Am văzut un film mut.
muta (se),fiil,move,"taşımak, taşınmak",Mut mobila în living.
muzeu,isim,museum,müze,Am vizitat multe muzee.
muzică,isim,music,müzik,Ascult muzică clasică.
napolitană,isim,wafer,gofret,Napolitanele cu ciocolată au fost bune.
nas,isim,nose,burun,S-a lovit la nas.
nasture,isim,button,düğme,A cusut nasturii paltonului.
naște (se),fiil,"give birth, be born",doğmak,Maria a născut ușor.
natural(ă),sıfat,natural,doğal,Beau un suc natural de portocale.
natură,isim,nature,"doğa, tabiat",Îmi plac plimbările în natură.
național(ă),sıfat,national,miili,Ziua națională a României este pe 1 decembrie.
navă,isim,"ship, vessel",gemi,Nava comercială a ajuns la Constanța.
neam,isim,"people, kin, relatives",akraba,Maria are multe neamuri la oraș.
neapărat,zarf,by all means,"mutlaka, mecburen",Să-mi scrii neapărat când ajungi acolo.
nebun(ă),sıfat,"mad, crazy",deli,Oamenii nebuni sunt foarte curajoși.
nebunie,isim,madness,delilik,Un om are nevoie în viața lui de puțină nebunie.
necesar(ă),sıfat,necessary,"gerek, lazım",Pentru a intra în Bulgaria este necesară cartea de identitate.
negativ(ă),sıfat,negative,"olumsuz, negatif",Rezultatul analizei este negativ.
"negru, neagră",sıfat,black,siyah,Are ochii negri.
nepoată,isim,"granddaughter, niece","yeğen, torun",Nepoata mea este studentă.
nepot,isim,"grandson, nephew","torun, yeğen",Nepoții au ajuns la bunici.
"nervos, nervoasă",sıfat,"angry, nervous",sinirli,Secretara este nervoasă acum.
nevastă,isim,wife,eş,Nevasta mea este acasă.
nevoie,isim,"need, necessity","ihtiyaç, gereksinim",Am nevoie de niște bani.
nicăieri,zarf,nowhere,hiçbir yer,Nicăieri nu este ca acasă.
nici [...] nici [...],bağlaç,neither ... nor,ne ... ne,"Nu a cumpărat nici mere, nici pere."
niciodată,zarf,never,hiçbir zaman,Niciodată nu a vizitat China.
nimeni,zamir,nobody,hiç kimse,Nu a venit nimeni la restaurant.
nimic,zamir,nothing,hiçbir şey,Nu a cumpărat nimic de la piață.
ninge,fiil,snow,kar yağmak,Azi ninge liniștit.
niște,tanımlık,some,bazı,Am văzut niște copii în parc.
nisip,isim,sand,kum,La plajă stau pe nisip.
nivel,isim,"level, floor",kat,Blocul are 10 niveluri.
noapte,isim,night,gece,"Iarna, nopțile sunt lungi."
noi,zamir,"we, us",biz,Noi vorbim românește.
noiembrie,isim,November,kasım,Noiembrie este o lună de toamnă.
noptieră,isim,nightstand,komodin,Lângă pat sunt două noptiere.
nor,isim,cloud,bulut,Pe cer sunt mulți nori azi.
noră,isim,daughter-in-law,gelin,Nora mea este harnică.
nord,isim,north,kuzey,Am o casă cu ferestrele spre nord.
normal(ă),sıfat,"normal, average","sıradan, normal",Azi este o zi normală de lucru.
noroc,isim,luck,"şans, talih, uğur",Are noroc în dragoste.
"norocos, norocoasă",sıfat,lucky,şanslı,Viorel este un om norocos.
"nostru, noastră (al, a)",zamir,our,biizim,Casa noastră este pe malul mării.
nota,fiil,write / note down,not etmek,Profesoara notează absenții în catalog.
notă,isim,"mark, note","not, puan","La examene, studenții iau note mari mereu."
nou(ă),sıfat,new,yeni,Am o mașină nouă.
nouă,sayı,nine,dokuz,Suntem nouă frați la părinți.
nu,zarf,"no, not",hayır,Nu! Nu mergem la film.
nucă,isim,(wal)nut,ceviz,Am mâncat o prăjitură cu nucă.
numai,zarf,"only, just","daha, sadece, yalnız",El are numai doi ani.
număr,isim,number,"numara, sayı",Locuiesc la numărul 15.
număra,fiil,count,saymak,El numără banii.
nume,isim,name,"ad, isim",Numele meu este Alexandru.
numi (se),fiil,name,isimlemek,Mă numesc Alexandru.
nuntă,isim,wedding,düğün,A făcut o nuntă mare.
oaie,isim,sheep,koyun,La fermă sunt multe oi.
